Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
04/21/2020,02/01/2020,04/18/2020,AL,Jefferson County,1073,11,1836
04/21/2020,02/01/2020,04/18/2020,AL,Lee County,1081,12,224
04/21/2020,02/01/2020,04/18/2020,AZ,Coconino County,4005,24,254
04/21/2020,02/01/2020,04/18/2020,AZ,Maricopa County,4013,46,8232
04/21/2020,02/01/2020,04/18/2020,AZ,Pima County,4019,23,2529
04/21/2020,02/01/2020,04/18/2020,CA,Alameda County,6001,30,2371
04/21/2020,02/01/2020,04/18/2020,CA,Contra Costa County,6013,10,1865
04/21/2020,02/01/2020,04/18/2020,CA,Los Angeles County,6037,214,15064
04/21/2020,02/01/2020,04/18/2020,CA,Orange County,6059,21,4684
04/21/2020,02/01/2020,04/18/2020,CA,Placer County,6061,10,890
04/21/2020,02/01/2020,04/18/2020,CA,Riverside County,6065,35,3940
04/21/2020,02/01/2020,04/18/2020,CA,Sacramento County,6067,22,2702
04/21/2020,02/01/2020,04/18/2020,CA,San Bernardino County,6071,28,3154
04/21/2020,02/01/2020,04/18/2020,CA,San Diego County,6073,45,5146
04/21/2020,02/01/2020,04/18/2020,CA,San Francisco County,6075,13,1387
04/21/2020,02/01/2020,04/18/2020,CA,San Mateo County,6081,27,1097
04/21/2020,02/01/2020,04/18/2020,CA,Santa Clara County,6085,42,2574
04/21/2020,02/01/2020,04/18/2020,CA,Tulare County,6107,10,702
04/21/2020,02/01/2020,04/18/2020,CA,Ventura County,6111,12,1309
04/21/2020,02/01/2020,04/18/2020,CO,Adams County,8001,34,762
04/21/2020,02/01/2020,04/18/2020,CO,Arapahoe County,8005,46,1043
04/21/2020,02/01/2020,04/18/2020,CO,Boulder County,8013,10,547
04/21/2020,02/01/2020,04/18/2020,CO,Denver County,8031,31,1143
04/21/2020,02/01/2020,04/18/2020,CO,Douglas County,8035,11,346
04/21/2020,02/01/2020,04/18/2020,CO,El Paso County,8041,36,1192
04/21/2020,02/01/2020,04/18/2020,CO,Jefferson County,8059,18,1122
04/21/2020,02/01/2020,04/18/2020,CO,Larimer County,8069,12,623
04/21/2020,02/01/2020,04/18/2020,CO,Weld County,8123,44,392
04/21/2020,02/01/2020,04/18/2020,DC,District of Columbia,11001,24,1265
04/21/2020,02/01/2020,04/18/2020,FL,Broward County,12011,82,3472
04/21/2020,02/01/2020,04/18/2020,FL,Charlotte County,12015,10,736
04/21/2020,02/01/2020,04/18/2020,FL,Duval County,12031,12,2185
04/21/2020,02/01/2020,04/18/2020,FL,Hillsborough County,12057,15,2711
04/21/2020,02/01/2020,04/18/2020,FL,Lee County,12071,12,1759
04/21/2020,02/01/2020,04/18/2020,FL,Manatee County,12081,10,997
04/21/2020,02/01/2020,04/18/2020,FL,Miami-Dade County,12086,112,4805
04/21/2020,02/01/2020,04/18/2020,FL,Orange County,12095,16,2235
04/21/2020,02/01/2020,04/18/2020,FL,Palm Beach County,12099,90,3602
04/21/2020,02/01/2020,04/18/2020,FL,Pinellas County,12103,12,2859
04/21/2020,02/01/2020,04/18/2020,FL,Sarasota County,12115,10,1401
04/21/2020,02/01/2020,04/18/2020,GA,Cobb County,13067,15,1022
04/21/2020,02/01/2020,04/18/2020,GA,DeKalb County,13089,16,891
04/21/2020,02/01/2020,04/18/2020,GA,Dougherty County,13095,26,269
04/21/2020,02/01/2020,04/18/2020,GA,Fayette County,13113,13,227
04/21/2020,02/01/2020,04/18/2020,GA,Fulton County,13121,42,1619
04/21/2020,02/01/2020,04/18/2020,GA,Gwinnett County,13135,13,755
04/21/2020,02/01/2020,04/18/2020,IA,Linn County,19113,18,423
04/21/2020,02/01/2020,04/18/2020,ID,Twin Falls County,16083,13,210
04/21/2020,02/01/2020,04/18/2020,IL,Cook County,17031,132,9482
04/21/2020,02/01/2020,04/18/2020,IL,DuPage County,17043,29,1594
04/21/2020,02/01/2020,04/18/2020,IL,Kane County,17089,17,753
04/21/2020,02/01/2020,04/18/2020,IL,Lake County,17097,14,1256
04/21/2020,02/01/2020,04/18/2020,IL,Will County,17197,24,1047
04/21/2020,02/01/2020,04/18/2020,IN,Hendricks County,18063,12,325
04/21/2020,02/01/2020,04/18/2020,IN,Madison County,18095,16,316
04/21/2020,02/01/2020,04/18/2020,IN,Marion County,18097,59,2150
04/21/2020,02/01/2020,04/18/2020,KS,Johnson County,20091,16,880
